"","pid","ahid","asex","amastat","aage","aqfachi","alknbrd","apaygu","aregion","wave1","bhid","bsex","bmastat","bage","bqfachi","blknbrd","bpaygu","bregion","wave2","paych","change_pay"
"42",10062351,1005219,2,2,49,1,1,NA,1,1,2004437,2,2,49,1,1,NA,1,1,NA,NA
"43",10062386,1005219,1,2,48,NA,NA,NA,1,1,2004437,1,2,49,4,1,NA,1,1,NA,NA
"44",10063102,1005278,2,6,36,1,1,NA,1,1,2004585,2,6,37,1,1,NA,1,1,NA,NA
"45",10064966,1005421,1,3,70,7,2,NA,1,1,2004658,1,3,70,7,1,NA,1,1,NA,NA
"46",10067248,1005618,2,1,37,1,1,1100.84680175781,1,1,2004801,2,1,38,1,1,1231.94763183594,1,1,131.100830078125,131.100830078125
"47",10070567,1005898,1,6,56,7,1,1080.83142089844,1,1,2004941,1,6,57,7,1,1000.76983642578,1,1,-80.0615844726562,-80.0615844726562
"48",10071687,1005987,1,2,29,7,2,1040,1,1,2005018,1,1,31,7,1,1083.33337402344,3,1,43.3333740234375,43.3333740234375
"49",10071717,1005987,2,2,29,7,2,953.333312988281,1,1,2005018,2,1,30,7,1,953.333312988281,3,1,0,0
"50",10076166,1006363,2,3,77,7,1,NA,1,1,2005158,2,3,78,7,1,NA,1,1,NA,NA
"51",10077316,1006452,1,6,25,5,1,964.166687011719,1,1,2005239,1,6,25,5,1,1097.84448242188,1,1,133.677795410156,133.677795410156
"52",10078401,1006541,1,6,60,4,1,NA,1,1,2005441,1,6,61,4,1,NA,1,1,NA,NA
"53",10079521,1006649,1,1,49,NA,NA,NA,1,1,2005514,1,1,50,NA,NA,NA,1,1,NA,NA
"54",10079556,1006649,2,1,36,7,1,433.333343505859,1,1,2005514,2,1,37,7,1,606.666687011719,1,1,173.333343505859,173.333343505859
"55",10079599,1006649,2,6,18,4,1,156,1,1,2005514,2,6,20,4,1,NA,1,1,NA,NA
"56",10080643,1006738,2,4,43,5,1,1501.15478515625,1,1,2005948,2,4,44,5,1,982.246887207031,1,1,-518.907897949219,-518.907897949219
"57",10080678,1006738,1,6,17,5,1,NA,1,1,2005948,1,6,17,5,1,NA,1,1,NA,NA
"58",10081798,1006827,2,1,72,7,1,NA,1,1,2006154,2,1,73,7,1,NA,1,1,NA,NA
"59",10082883,1006916,1,1,82,7,1,NA,1,1,2006294,1,1,83,NA,NA,NA,1,1,NA,NA
"60",10082913,1006916,2,1,75,7,1,NA,1,1,2006294,2,1,76,7,1,NA,1,1,NA,NA
"61",10086242,1007203,1,3,74,7,2,NA,1,1,2006448,1,3,75,7,2,NA,1,1,NA,NA
"62",10087362,1007297,1,1,49,7,1,1327.08337402344,1,1,2006529,1,1,49,7,1,1661.27795410156,1,1,334.194580078125,334.194580078125
"63",10087397,1007297,2,1,44,7,1,931.666687011719,1,1,2006529,2,1,45,7,1,967.297973632812,1,1,35.6312866210938,35.6312866210938
"64",10089632,1007483,2,2,47,5,1,975.122436523438,1,1,2006871,2,2,48,5,1,958.737487792969,1,1,-16.3849487304688,-16.3849487304688
"65",10091866,1007661,2,1,48,4,1,NA,1,1,2007029,2,1,48,4,1,1429.5693359375,1,1,NA,NA
"66",10092951,1007769,1,1,23,4,1,971.717224121094,1,1,2007371,1,1,24,4,1,1204.92687988281,1,1,233.209655761719,233.209655761719
"67",10092986,1007769,2,1,23,4,1,1000.76983642578,1,1,2007371,2,1,24,4,1,1218.498046875,1,1,217.728210449219,217.728210449219
"68",10094083,1007858,1,1,48,3,1,3250,1,1,2007517,1,1,49,3,1,3002.3095703125,1,1,-247.6904296875,-247.6904296875
"69",10094113,1007858,2,1,46,5,1,NA,1,1,2007517,2,1,47,5,1,551.318115234375,1,1,NA,NA
"70",10097449,1008137,1,6,37,2,1,4003.07934570312,1,1,2007819,1,6,38,2,1,2372.43676757812,1,1,-1630.642578125,-1630.642578125
"71",10099689,1008323,1,1,36,7,1,1096.33337402344,1,1,2008025,1,1,37,7,1,NA,1,1,NA,NA
"72",10099719,1008323,2,1,32,5,1,NA,1,1,2008025,2,1,32,5,1,NA,1,1,NA,NA
"73",10101918,1008501,1,1,64,7,1,NA,1,1,2008459,1,1,65,7,1,NA,1,1,NA,NA
"74",10101942,1008501,2,1,60,7,1,NA,1,1,2008459,2,1,60,7,1,NA,1,1,NA,NA
"75",10101977,1008501,2,6,33,3,1,899.692077636719,1,1,2008459,2,6,34,3,1,958.737487792969,1,1,59.04541015625,59.04541015625
"76",10103031,1008609,1,1,38,7,1,866.666687011719,1,1,2008661,1,1,39,7,1,NA,1,1,NA,NA
"77",10103066,1008609,2,1,34,2,1,NA,1,1,2008661,2,1,35,2,1,NA,1,1,NA,NA
"78",10110879,1009257,2,1,48,7,1,NA,1,1,2009099,2,1,49,7,2,NA,1,1,NA,NA
"79",10110909,1009257,1,1,45,7,NA,NA,1,1,2009099,1,1,46,7,1,NA,1,1,NA,NA
"80",10110933,1009257,2,6,16,7,1,NA,1,1,2009099,2,6,17,5,1,78,1,1,NA,NA
"81",10111999,1009346,2,3,49,5,1,559,1,1,2009374,2,3,50,5,1,559,1,1,0,0
"82",10112022,1009346,1,6,21,4,1,NA,1,1,2009374,1,6,22,2,2,NA,1,1,NA,NA
"83",10114238,1009532,1,1,75,7,1,NA,1,1,2009668,1,1,76,7,1,NA,1,1,NA,NA
"84",10114262,1009532,2,1,71,7,2,NA,1,1,2009668,2,1,72,7,2,NA,1,1,NA,NA
"85",10116508,1009729,1,6,22,4,1,156,1,1,2010119,1,6,23,4,1,130.100082397461,1,1,-25.8999176025391,-25.8999176025391
"86",10117598,1009818,2,6,25,6,1,NA,1,1,2010321,2,6,26,6,1,NA,1,1,NA,NA
"87",10118713,1009907,2,3,74,7,1,NA,1,1,2010534,2,3,75,7,1,NA,1,1,NA,NA
"88",10119833,1010018,1,1,63,7,1,780,1,1,2010607,1,1,64,7,2,801.666687011719,1,1,21.6666870117188,21.6666870117188
"89",10119868,1010018,2,1,63,7,2,NA,1,1,2010607,2,1,64,7,2,NA,1,1,NA,NA
"90",10122079,1010204,2,1,32,4,1,NA,1,1,2010747,2,1,33,4,1,NA,2,1,NA,NA
"91",10122109,1010204,1,1,32,2,1,4670.5927734375,1,1,2010747,1,1,32,2,1,4586.5283203125,2,1,-84.064453125,-84.064453125
"92",10124306,1010387,1,1,82,1,2,NA,1,1,2011034,1,1,83,NA,NA,NA,1,1,NA,NA
"93",10124349,1010387,2,1,76,7,2,NA,1,1,2011034,2,1,77,7,2,NA,1,1,NA,NA
"94",10125426,1010476,1,1,75,7,1,NA,1,1,2011174,1,1,76,7,1,NA,1,1,NA,NA
"95",10125469,1010476,2,1,74,7,1,NA,1,1,2011174,2,1,75,7,1,NA,1,1,NA,NA
"96",10127666,1010662,2,1,45,5,1,1501.15478515625,1,1,2011328,2,1,46,5,1,1651.27026367188,1,1,150.115478515625,150.115478515625
"97",10127704,1010662,1,1,41,7,1,NA,1,1,2011328,1,1,42,7,1,NA,1,1,NA,NA
"98",10127739,1010662,2,6,20,6,1,229.66667175293,1,1,2011395,2,6,21,6,1,238.33332824707,4,1,8.66665649414062,8.66665649414062
"99",10128786,1010751,1,1,56,7,1,NA,1,1,2011689,1,1,57,7,1,NA,1,1,NA,NA
"100",10128816,1010751,2,1,51,5,1,NA,1,1,2011689,2,1,52,5,1,NA,1,1,NA,NA
"101",10129901,1010859,2,6,29,2,1,1000.76983642578,1,1,2011964,2,6,30,2,1,800.615844726562,1,1,-200.153991699219,-200.153991699219
"102",10129936,1010859,2,6,28,4,1,1891.626953125,1,1,2011964,2,6,28,4,1,2101.61669921875,1,1,209.98974609375,209.98974609375
"103",10129979,1010859,2,6,27,2,1,2001.53967285156,1,1,2011964,2,6,28,2,1,2301.77075195312,1,1,300.231079101562,300.231079101562
"104",10131396,1010972,1,6,24,4,1,1000.76983642578,1,1,2012189,1,6,24,4,1,2001.53967285156,1,1,1000.76983642578,1000.76983642578
"105",10131779,1011006,1,6,23,3,1,NA,1,1,2012251,1,6,24,3,2,NA,1,1,NA,NA
"106",10137742,1011502,1,6,36,3,1,2501.92456054688,1,1,2012324,1,6,37,3,1,2500,1,1,-1.924560546875,-1.924560546875
"107",10138862,1011596,1,1,50,5,1,NA,1,1,2012391,1,1,51,5,2,NA,1,1,NA,NA
"108",10138897,1011596,2,1,49,7,1,433.333343505859,1,1,2012391,2,1,50,7,1,390,1,1,-43.3333435058594,-43.3333435058594
"109",10138927,1011596,1,6,23,7,1,1482,1,1,2012391,1,6,24,7,1,1469,1,1,-13,-13
"110",10141103,1011782,1,6,36,5,2,NA,1,1,2012618,1,6,37,NA,NA,NA,1,1,NA,NA
"111",10141138,1011782,1,6,32,4,1,2301.77075195312,1,1,2012618,1,6,33,4,1,2501.92456054688,1,1,200.15380859375,200.15380859375
"112",10142223,1011871,1,3,68,7,1,NA,1,1,2012758,1,3,68,7,1,NA,1,1,NA,NA
"113",10143343,1011979,2,2,32,5,1,1619.24560546875,1,1,2012839,2,2,33,5,1,NA,1,1,NA,NA
"114",10143378,1011979,1,2,30,7,1,770.5927734375,1,1,2012839,1,2,31,7,1,NA,1,1,NA,NA
"115",10148949,1012436,2,6,38,7,1,NA,1,1,2012979,2,6,39,7,1,NA,1,1,NA,NA
"116",10152296,1012711,1,1,77,7,2,NA,1,1,2013045,1,1,78,7,1,NA,3,1,NA,NA
"117",10152326,1012711,2,1,75,7,1,NA,1,1,2013045,2,1,76,7,1,NA,3,1,NA,NA
"118",10154531,1012908,2,6,27,7,2,NA,1,1,2013185,2,6,27,7,2,NA,1,1,NA,NA
"119",10154906,1012932,1,1,41,6,1,1301.00073242188,1,1,2013401,1,1,41,6,1,1269.66662597656,1,1,-31.3341064453125,-31.3341064453125
"120",10154949,1012932,2,1,37,7,1,NA,1,1,2013401,2,1,37,7,1,NA,1,1,NA,NA
"121",10155651,1012991,1,1,28,1,1,1334.02624511719,1,1,2013754,1,1,29,1,1,1651.27026367188,1,1,317.244018554688,317.244018554688
"122",10155686,1012991,2,1,24,2,1,1341.03161621094,1,1,2013754,2,1,25,2,1,1692.3017578125,1,1,351.270141601562,351.270141601562
"123",10160132,1013378,2,3,61,7,1,NA,1,1,2014033,2,3,62,7,1,NA,1,1,NA,NA
"124",10161252,1013467,2,1,47,7,1,624,1,1,2014173,2,5,48,7,1,NA,1,1,NA,NA
"125",10162747,1013599,1,2,29,3,1,1197.92150878906,1,1,2014386,1,2,30,3,1,1563.20251464844,1,1,365.281005859375,365.281005859375
"126",10162771,1013599,2,2,28,4,1,1401.07775878906,1,1,2014386,2,2,29,4,1,1701.30871582031,1,1,300.23095703125,300.23095703125
"127",10163492,1013653,2,6,39,7,2,NA,1,1,2014521,2,6,39,7,1,NA,1,1,NA,NA
"128",10164243,1013718,2,1,61,7,1,NA,1,1,2014599,2,1,62,7,1,NA,1,1,NA,NA
"129",10164278,1013718,1,1,60,4,1,NA,1,1,2014599,1,1,61,4,1,NA,1,1,NA,NA
"130",10166858,1013939,1,6,27,5,1,2060.58520507812,1,1,2014734,1,6,28,5,1,2284.75756835938,1,1,224.17236328125,224.17236328125
"131",10170219,1014218,1,2,48,3,2,1701.30871582031,1,1,2014807,1,1,48,3,1,1661.27795410156,1,1,-40.03076171875,-40.03076171875
"132",10170243,1014218,2,2,24,NA,NA,NA,1,1,2014807,2,1,25,NA,1,NA,1,1,NA,NA
"133",10171339,1014307,1,1,58,NA,NA,NA,1,1,2014947,1,1,59,NA,NA,NA,1,1,NA,NA
"134",10171363,1014307,2,1,61,5,1,325,1,1,2014947,2,1,61,5,1,216.66667175293,1,1,-108.33332824707,-108.33332824707
"135",10171398,1014307,1,6,21,4,1,640.49267578125,1,1,2015013,1,6,22,4,1,722.555847167969,1,1,82.0631713867188,82.0631713867188
"136",10174699,1014587,1,1,53,5,1,1301.00073242188,1,1,2015161,1,1,54,5,1,1300,1,1,-1.000732421875,-1.000732421875
"137",10174729,1014587,2,1,48,5,1,1501.15478515625,1,1,2015161,2,1,49,5,1,1841.66662597656,1,1,340.511840820312,340.511840820312
"138",10174753,1014587,1,6,17,5,1,NA,1,1,2015161,1,6,18,5,1,NA,1,1,NA,NA
"139",10175806,1014676,1,1,53,5,2,NA,1,1,2015374,1,1,54,5,2,805.83203125,1,1,NA,NA
"140",10175849,1014676,2,1,48,7,2,NA,1,1,2015374,2,1,49,NA,NA,NA,1,1,NA,NA
"141",10179178,1014951,1,6,27,5,2,1187.33337402344,1,1,2015811,1,6,28,5,2,1126.66662597656,1,1,-60.666748046875,-60.666748046875
"142",10182527,1015249,1,6,29,4,1,1950,1,1,2015889,1,6,30,4,NA,NA,1,1,NA,NA
"143",10183647,1015338,2,4,64,7,2,NA,1,1,2015951,2,4,65,7,2,NA,1,1,NA,NA
"144",10184767,1015427,2,6,63,5,1,NA,1,1,2016028,2,6,64,5,1,NA,1,1,NA,NA
"145",10185887,1015516,1,1,57,2,1,4624.5576171875,1,1,2016095,1,1,58,2,1,4173.21044921875,1,1,-451.34716796875,-451.34716796875
"146",10185917,1015516,2,1,47,5,1,2354.8115234375,1,1,2016095,2,1,49,5,1,2706.02685546875,1,1,351.21533203125,351.21533203125
"147",10187006,1015613,2,1,67,7,1,NA,1,1,2016249,2,1,68,7,1,NA,1,1,NA,NA
"148",10187049,1015613,1,1,80,7,2,NA,1,1,2016249,1,1,81,7,2,NA,1,1,NA,NA
"149",10187383,1015648,1,5,49,7,1,NA,1,1,2016389,1,5,50,7,1,NA,1,1,NA,NA
"150",10187758,1015672,2,2,22,7,1,NA,1,1,2016451,2,2,23,7,1,NA,1,1,NA,NA
"151",10187782,1015672,1,2,22,7,1,NA,1,1,2016451,1,2,23,7,1,NA,1,1,NA,NA
"152",10188126,1015702,2,6,41,1,1,3002.3095703125,1,1,2016737,2,6,42,1,1,4163.20263671875,1,1,1160.89306640625,1160.89306640625
"153",10188509,1015737,1,6,43,2,1,970.666687011719,1,1,2016818,1,6,44,2,1,904.31689453125,1,1,-66.3497924804688,-66.3497924804688
"154",10192603,1016083,1,1,46,5,1,2602.00146484375,1,1,2016958,1,1,47,5,1,3002.3095703125,1,1,400.30810546875,400.30810546875
"155",10192638,1016083,2,1,43,NA,NA,NA,1,1,2016958,2,1,44,NA,NA,NA,1,1,NA,NA
"156",10192662,1016083,2,6,18,4,1,541.666687011719,1,1,2016958,2,6,19,4,1,541.666687011719,1,1,0,0
"157",10192972,1016113,2,1,29,5,1,1130.86987304688,1,1,2017237,2,1,30,5,1,1460.12316894531,2,1,329.253295898438,329.253295898438
"158",10193006,1016113,1,1,29,2,1,4003.07934570312,1,1,2017237,1,1,30,2,1,5254.04150390625,2,1,1250.96215820312,1250.96215820312
"159",10193723,1016172,1,2,36,4,1,3502.6943359375,1,1,2017385,1,2,37,4,1,4803.6953125,1,1,1301.0009765625,1301.0009765625
"160",10193758,1016172,2,2,35,4,1,1262.97155761719,1,1,2017385,2,2,36,4,1,1364.81774902344,1,1,101.84619140625,101.84619140625
"161",10197087,1016458,2,6,43,2,1,1740.33874511719,1,1,2017601,2,6,44,2,1,NA,1,1,NA,NA
"162",10198202,1016547,1,2,74,7,2,NA,1,1,2017679,1,3,75,7,1,NA,1,1,NA,NA
"163",10198237,1016547,2,2,65,7,2,299,1,1,2017679,2,4,66,7,2,277.333343505859,1,1,-21.6666564941406,-21.6666564941406
"164",10199691,1016679,1,6,39,2,1,NA,1,1,2017814,1,6,40,2,1,NA,1,1,NA,NA
"165",10200436,1016733,2,1,32,5,1,NA,1,1,2017881,2,1,34,NA,NA,NA,1,1,NA,NA
"166",10200479,1016733,1,1,30,1,1,NA,1,1,2017881,1,1,31,1,1,NA,1,1,NA,NA
"167",10202676,1016911,1,2,26,4,1,NA,1,1,2018179,1,6,27,4,1,NA,1,1,NA,NA
"168",10202706,1016911,1,2,27,6,1,816.628173828125,1,1,2018179,1,6,28,6,1,816.628173828125,1,1,0,0
"169",10204911,1017101,1,1,70,7,1,NA,1,1,2018314,1,1,71,7,1,NA,1,1,NA,NA
"170",10204946,1017101,2,1,73,7,1,NA,1,1,2018314,2,1,73,7,1,NA,1,1,NA,NA
"171",10208283,1017381,1,6,36,4,1,NA,1,1,2018527,1,6,37,4,1,NA,1,1,NA,NA
"172",10209409,1017489,1,6,46,7,1,715,1,1,2018594,1,6,47,7,1,651.442810058594,1,1,-63.5571899414062,-63.5571899414062
"173",10210512,1017578,1,1,34,5,1,NA,1,1,2018667,1,1,35,5,1,NA,1,1,NA,NA
"174",10210547,1017578,2,1,31,5,1,439.337951660156,1,1,2018667,2,1,32,5,1,NA,1,1,NA,NA
"175",10211268,1017632,1,1,37,7,2,907.698181152344,1,1,2018896,1,1,38,NA,NA,NA,1,1,NA,NA
"176",10211292,1017632,2,1,33,6,1,NA,1,1,2018896,2,1,34,6,1,NA,1,1,NA,NA
"177",10211632,1017667,1,6,37,2,1,NA,1,1,2019108,1,6,38,2,1,NA,1,1,NA,NA
"178",10211667,1017667,2,6,25,7,1,NA,1,1,2019108,2,6,26,2,1,NA,1,1,NA,NA
"179",10212019,1017691,2,1,32,2,1,NA,1,1,2019248,2,1,33,2,1,NA,1,1,NA,NA
"180",10212043,1017691,1,1,32,1,1,NA,1,1,2019248,1,1,33,1,1,NA,1,1,NA,NA
"181",10212388,1017721,1,1,38,NA,NA,NA,1,1,2019396,1,1,38,NA,NA,NA,1,1,NA,NA
"182",10212418,1017721,2,1,33,3,1,NA,1,1,2019396,2,1,33,3,1,NA,1,1,NA,NA
"183",10212752,1017756,2,1,55,4,1,NA,1,1,2019671,2,1,56,4,1,NA,1,1,NA,NA
"184",10212787,1017756,1,1,36,NA,NA,NA,1,1,2019671,1,1,37,NA,NA,NA,1,1,NA,NA
"185",10214992,1017942,2,1,31,7,1,1501.15478515625,1,1,2019957,2,1,32,7,2,1792.37878417969,1,1,291.223999023438,291.223999023438
"186",10215026,1017942,1,1,30,7,1,NA,1,1,2019957,1,1,31,NA,NA,NA,1,1,NA,NA
"187",10217231,1018132,1,6,30,2,1,NA,1,1,2020092,1,6,31,2,1,NA,1,1,NA,NA
"188",10219471,1018329,2,1,35,3,1,1151.88610839844,1,1,2020165,2,1,36,3,1,NA,17,1,NA,NA
"189",10219501,1018329,1,1,35,2,1,1841.41650390625,1,1,2020165,1,1,36,2,1,1601.23168945312,17,1,-240.184814453125,-240.184814453125
"190",10225072,1018787,1,6,22,5,1,835.642822265625,1,1,2020319,1,6,23,5,2,859.661315917969,1,1,24.0184936523438,24.0184936523438
"191",10242988,1020277,1,1,30,2,1,NA,1,1,2020459,1,1,31,2,1,1334.66662597656,1,1,NA,NA
"192",10243011,1020277,2,1,28,5,1,671.666687011719,1,1,2020459,2,1,29,5,1,1865.61157226562,1,1,1193.94488525391,1193.94488525391
"193",10246347,1020552,2,2,26,2,1,NA,1,1,2020599,2,1,27,2,1,685.882568359375,1,1,NA,NA
"194",10246371,1020552,1,6,27,4,1,NA,1,1,2020661,1,1,28,4,2,1300,2,1,NA,NA
"195",10246401,1020552,1,2,24,4,1,NA,1,1,2020599,1,1,25,4,1,NA,1,1,NA,NA
"196",10253068,1021117,2,6,35,4,1,1603.33337402344,1,1,2020807,2,6,36,4,1,NA,1,1,NA,NA
"197",10254188,1021206,1,2,64,2,1,NA,1,1,2020874,1,2,65,2,1,NA,1,1,NA,NA
"198",10254218,1021206,2,2,54,5,1,1751.34716796875,1,1,2020874,2,2,55,5,1,1804.38806152344,1,1,53.0408935546875,53.0408935546875
"199",10256423,1021397,2,3,76,7,1,NA,1,1,2021013,2,3,77,7,1,NA,1,1,NA,NA
"200",10263136,1021958,1,3,57,4,1,NA,1,1,2021161,1,3,58,4,1,NA,1,1,NA,NA
"201",10267611,1022326,2,4,37,2,2,1765.35803222656,1,1,2021234,2,4,38,2,2,1100.63928222656,1,1,-664.71875,-664.71875
"202",10267689,1022326,2,6,44,7,1,NA,1,1,2021234,2,6,45,7,1,NA,1,1,NA,NA
"203",10273212,1022792,1,6,39,1,1,1871.96118164062,1,1,2021447,1,6,40,1,1,2614.00390625,1,1,742.042724609375,742.042724609375
"204",10273956,1022857,1,4,28,1,1,1667.28259277344,1,1,2021528,1,4,29,1,1,NA,1,1,NA,NA
"205",10276572,1023071,1,2,36,2,1,1516.66662597656,1,1,2021668,1,2,37,2,1,1707.86083984375,1,1,191.194213867188,191.194213867188
"206",10276602,1023071,2,2,33,7,1,NA,1,1,2021668,2,2,34,7,1,NA,1,1,NA,NA
"207",10278818,1023268,1,1,40,4,1,NA,1,1,2021889,1,1,41,4,1,NA,1,1,NA,NA
"208",10278842,1023268,2,1,38,5,1,NA,1,1,2021889,2,1,39,5,1,NA,1,1,NA,NA
"209",10286276,1023888,2,2,28,2,1,1125,1,1,2022524,2,2,29,2,1,1602.12622070312,1,1,477.126220703125,477.126220703125
"210",10286306,1023888,1,2,27,2,1,2155.658203125,1,1,2022524,1,2,28,2,1,1950.05810546875,1,1,-205.60009765625,-205.60009765625
"211",10298967,1024949,1,4,53,5,1,1751.34716796875,1,1,2022958,1,1,54,5,1,1083.33337402344,5,1,-668.013793945312,-668.013793945312
"212",10300082,1025031,2,6,36,4,1,1160.96240234375,1,1,2023024,2,6,37,4,1,NA,1,1,NA,NA
"213",10301208,1025139,1,1,35,2,1,1837.41345214844,1,1,2023091,1,1,36,2,1,1667.28259277344,1,1,-170.130859375,-170.130859375
"214",10301232,1025139,2,1,30,2,1,NA,1,1,2023091,2,1,31,2,1,NA,1,1,NA,NA
"215",10303448,1025317,1,1,44,7,1,NA,1,1,2023318,1,1,45,7,1,NA,1,1,NA,NA
"216",10303472,1025317,2,1,32,7,1,123.094688415527,1,1,2023318,2,1,33,7,1,127.097770690918,1,1,4.00308227539062,4.00308227539062
"217",10306838,1025597,2,2,22,5,1,NA,1,1,2023814,2,6,23,5,2,NA,1,1,NA,NA
"218",10306897,1025597,1,6,33,4,1,NA,1,1,2023741,1,2,34,4,1,NA,1,1,NA,NA
"219",10307958,1025686,2,4,54,7,2,NA,1,1,2024039,2,4,55,7,2,NA,1,1,NA,NA
"220",10307982,1025686,1,6,18,7,1,606.666687011719,1,1,2024039,1,6,19,7,1,195,1,1,-411.666687011719,-411.666687011719
"221",10309047,1025783,1,1,32,2,1,1506.15856933594,1,1,2024241,1,1,33,2,1,1557.81420898438,1,1,51.6556396484375,51.6556396484375
"222",10309071,1025783,2,1,32,4,1,644.495788574219,1,1,2024241,2,1,33,4,1,693.533508300781,1,1,49.0377197265625,49.0377197265625
